Subpopulation,Indicator,NResp,Value,Estimate.P,LCB95Pct.P,UCB95Pct.P
Virginia,VSCIAll,153,52.37,29.66331769,25.41895215,33.90768324
Virginia,VSCIAll,154,52.44,29.75357671,25.50733727,33.99981615
Virginia,VSCIAll,155,52.615,29.87569543,25.62791146,34.12347939
Virginia,VSCIAll,156,52.70124881,29.96595444,25.71780027,34.21410861
Virginia,VSCIAll,157,52.85,30.05621346,25.81488643,34.29754048
Virginia,VSCIAll,158,52.88,30.14647247,25.90402968,34.38891526
Virginia,VSCIAll,159,53.08815779,30.67218552,26.40946687,34.93490416
Virginia,VSCIAll,160,53.13753737,31.19789856,26.96301541,35.43278172
Virginia,VSCIAll,161,53.3,31.25462532,27.01850813,35.49074251
Virginia,VSCIAll,162,53.49127381,31.34488434,27.10139375,35.58837492
Virginia,VSCIAll,163,53.56373431,31.4016111,27.15512828,35.64809391
Virginia,VSCIAll,164,53.625,31.66446762,27.42382666,35.90510858
Virginia,VSCIAll,165,53.715,31.78658634,27.5491891,36.02398358
Virginia,VSCIAll,166,53.81,31.87684535,27.64270142,36.11098929
Virginia,VSCIAll,167,53.84,31.96710437,27.73356768,36.20064105
Virginia,VSCIAll,168,53.85736333,32.02383113,27.78968974,36.25797251
Virginia,VSCIAll,169,53.89101788,32.05138655,27.81718525,36.28558785
Virginia,VSCIAll,170,54.185,32.17350527,27.93508786,36.41192267
Virginia,VSCIAll,171,54.1918461,32.26376428,28.02675819,36.50077037
Virginia,VSCIAll,172,54.39209766,32.29131971,28.05625647,36.52638295
Virginia,VSCIAll,173,54.41,32.35237907,28.11792487,36.58683326
Virginia,VSCIAll,174,54.45115025,32.87809211,28.59381175,37.16237247
Virginia,VSCIAll,175,54.46,32.93481887,28.64944995,37.22018779
Virginia,VSCIAll,176,54.52115731,33.05693759,28.76904689,37.34482829
Virginia,VSCIAll,177,54.5657164,33.58265064,29.26111841,37.90418286
Virginia,VSCIAll,178,54.655,33.6393774,29.31625781,37.96249699
Virginia,VSCIAll,179,54.71,33.76149611,29.43639371,38.08659852
Virginia,VSCIAll,180,54.725,34.28720916,29.95131188,38.62310645
Virginia,VSCIAll,181,54.73740243,34.81292221,30.49518584,39.13065858
Virginia,VSCIAll,182,54.78,34.90318122,30.58547142,39.22089102
Virginia,VSCIAll,183,54.80744298,35.02529994,30.69712234,39.35347754
Virginia,VSCIAll,184,54.89060551,35.14741866,30.8202547,39.47458261
Virginia,VSCIAll,185,55.09887553,35.20414542,30.87722008,39.53107075
Virginia,VSCIAll,186,55.16331702,35.32626414,30.99363357,39.6588947
Virginia,VSCIAll,187,55.21676769,35.38299089,31.0498117,39.71617009
Virginia,VSCIAll,188,55.22976263,35.50510961,31.16947243,39.8407468
Virginia,VSCIAll,189,55.24,35.59536863,31.26485871,39.92587854
